sr	scenario	group	MLE	Ac	NoEx	ER_MLE	ER_Ac	ER_NoEx
0.2	1	GSIgroup4	2821	2825	6820	-2	1	-41
0.2	1	GSIgroup5	3057	3078	6648	-2	1	-41
0.2	1	GSIgroup7	3529	3518	7375	-3	-1	-41
0.2	1	GSIgroup8	5608	5562	9600	-8	-3	-44
0.2	1	PBT A	506	507	498	0	0	1
0.2	1	PBT B	2309	2367	4623	5	0	53
0.2	1	PBT C	1141	1175	4045	6	1	60
0.2	1	pbtGroup1	365	370	333	NA	NA	NA
0.2	1	pbtGroup10	518	519	492	0	-1	4
0.2	1	pbtGroup12	635	635	616	0	0	2
0.2	1	pbtGroup13	590	598	612	0	-1	12
0.2	1	pbtGroup14	772	773	744	-1	-1	2
0.2	1	pbtGroup15	999	1017	1323	-2	-3	24
0.2	1	pbtGroup16	1058	1059	1035	-2	-2	0
0.2	1	pbtGroup17	1166	1170	1190	3	2	10
0.2	1	pbtGroup18	1731	1745	1809	0	-1	15
0.2	1	pbtGroup19	1362	1379	1539	0	-1	19
0.2	1	pbtGroup2	439	458	594	1	0	19
0.2	1	pbtGroup20	1649	1663	1974	-1	-2	24
0.2	1	pbtGroup21	1688	1691	1683	2	2	6
0.2	1	pbtGroup22	1916	1922	4507	3	2	56
0.2	1	pbtGroup23	1924	1930	1988	3	1	13
0.2	1	pbtGroup25	4308	4354	6863	1	-2	55
0.2	1	pbtGroup3	403	403	403	1	1	1
0.2	1	pbtGroup4	504	504	474	-2	-2	1
0.2	1	pbtGroup5	490	490	484	1	1	2
0.2	1	pbtGroup6	463	469	458	1	1	8
0.2	1	pbtGroup7	535	537	506	-1	-1	3
0.2	1	pbtGroup9	579	579	568	0	0	1
0.2	2	GSI A	2794	2799	4666	-4	-1	-42
0.2	2	GSI B	3320	3325	4921	-1	1	-38
0.2	2	GSI C	12649	12653	13460	9	10	-31
0.2	2	GSIgroup1	1689	1697	3638	-5	-1	-42
0.2	2	GSIgroup10	13586	13619	14901	4	6	-36
0.2	2	GSIgroup2	1648	1688	3267	-4	2	-38
0.2	2	GSIgroup4	2785	2796	4639	-3	0	-40
0.2	2	GSIgroup5	3075	3074	4694	-3	1	-39
0.2	2	GSIgroup7	3482	3457	5387	-5	-2	-42
0.2	2	GSIgroup8	6013	5970	8242	-12	-6	-47
0.2	2	PBT A	536	536	528	1	1	2
0.2	2	PBT B	2223	2223	4706	8	2	55
0.2	2	PBT C	1169	1248	3863	5	-2	59
0.2	2	pbtGroup1	357	364	355	NA	NA	NA
0.2	2	pbtGroup10	546	549	518	0	-1	3
0.2	2	pbtGroup12	623	624	602	-1	-1	2
0.2	2	pbtGroup13	612	629	666	2	0	13
0.2	2	pbtGroup14	866	867	834	-1	-1	2
0.2	2	pbtGroup15	1091	1112	1484	1	-1	26
