sr	group	type	MSE
0.075	pbtGroup22	Ac	5154
0.075	pbtGroup23	Ac	5716
0.075	pbtGroup24	Ac	5795
0.075	pbtGroup25	Ac	13324
0.075	pbtGroup3	Ac	1103
0.075	pbtGroup4	Ac	1394
0.075	pbtGroup5	Ac	1408
0.075	pbtGroup6	Ac	1286
0.075	pbtGroup7	Ac	1352
0.075	pbtGroup8	Ac	1245
0.075	pbtGroup9	Ac	1525
0.1	GSIgroup1	Ac	2887
0.1	GSIgroup10	Ac	28445
0.1	GSIgroup2	Ac	2845
0.1	GSIgroup3	Ac	4609
0.1	GSIgroup4	Ac	4723
0.1	GSIgroup5	Ac	5779
