sr	group	type	ER
0.1	pbtGroup21	TotEx	NA
0.1	pbtGroup22	TotEx	NA
0.1	pbtGroup23	TotEx	NA
0.1	pbtGroup24	TotEx	NA
0.1	pbtGroup25	TotEx	NA
0.1	pbtGroup3	TotEx	NA
0.1	pbtGroup4	TotEx	NA
0.1	pbtGroup5	TotEx	NA
0.1	pbtGroup6	TotEx	NA
0.1	pbtGroup7	TotEx	NA
0.1	pbtGroup8	TotEx	NA
0.1	pbtGroup9	TotEx	NA
0.15	GSIgroup1	TotEx	7
0.15	GSIgroup10	TotEx	7
0.15	GSIgroup2	TotEx	10
0.15	GSIgroup3	TotEx	14
0.15	GSIgroup4	TotEx	14
0.15	GSIgroup5	TotEx	12
0.15	GSIgroup6	TotEx	-18
0.15	GSIgroup7	TotEx	18
0.15	GSIgroup8	TotEx	-7
0.15	GSIgroup9	TotEx	-35
0.15	pbtGroup1	TotEx	NA
0.15	pbtGroup10	TotEx	NA
0.15	pbtGroup11	TotEx	NA
0.15	pbtGroup12	TotEx	NA
0.15	pbtGroup13	TotEx	NA
0.15	pbtGroup14	TotEx	NA
0.15	pbtGroup15	TotEx	NA
0.15	pbtGroup16	TotEx	NA
0.15	pbtGroup17	TotEx	NA
0.15	pbtGroup18	TotEx	NA
0.15	pbtGroup19	TotEx	NA
0.15	pbtGroup2	TotEx	NA
0.15	pbtGroup20	TotEx	NA
0.15	pbtGroup21	TotEx	NA
0.15	pbtGroup22	TotEx	NA
0.15	pbtGroup23	TotEx	NA
0.15	pbtGroup24	TotEx	NA
0.15	pbtGroup25	TotEx	NA
0.15	pbtGroup3	TotEx	NA
0.15	pbtGroup4	TotEx	NA
0.15	pbtGroup5	TotEx	NA
0.15	pbtGroup6	TotEx	NA
0.15	pbtGroup7	TotEx	NA
0.15	pbtGroup8	TotEx	NA
0.15	pbtGroup9	TotEx	NA
0.2	GSIgroup1	TotEx	5
0.2	GSIgroup10	TotEx	5
0.2	GSIgroup2	TotEx	8
0.2	GSIgroup3	TotEx	13
0.2	GSIgroup4	TotEx	17
0.2	GSIgroup5	TotEx	11
0.2	GSIgroup6	TotEx	-21
0.2	GSIgroup7	TotEx	19
0.2	GSIgroup8	TotEx	-11
0.2	GSIgroup9	TotEx	-50
0.2	pbtGroup1	TotEx	NA
0.2	pbtGroup10	TotEx	NA
0.2	pbtGroup11	TotEx	NA
0.2	pbtGroup12	TotEx	NA
0.2	pbtGroup13	TotEx	NA
0.2	pbtGroup14	TotEx	NA
0.2	pbtGroup15	TotEx	NA
0.2	pbtGroup16	TotEx	NA
0.2	pbtGroup17	TotEx	NA
0.2	pbtGroup18	TotEx	NA
0.2	pbtGroup19	TotEx	NA
0.2	pbtGroup2	TotEx	NA
0.2	pbtGroup20	TotEx	NA
0.2	pbtGroup21	TotEx	NA
0.2	pbtGroup22	TotEx	NA
0.2	pbtGroup23	TotEx	NA
0.2	pbtGroup24	TotEx	NA
0.2	pbtGroup25	TotEx	NA
0.2	pbtGroup3	TotEx	NA
0.2	pbtGroup4	TotEx	NA
0.2	pbtGroup5	TotEx	NA
0.2	pbtGroup6	TotEx	NA
0.2	pbtGroup7	TotEx	NA
0.2	pbtGroup8	TotEx	NA
0.2	pbtGroup9	TotEx	NA
0.25	GSIgroup1	TotEx	8
0.25	GSIgroup10	TotEx	21
0.25	GSIgroup2	TotEx	8
0.25	GSIgroup3	TotEx	11
0.25	GSIgroup4	TotEx	12
0.25	GSIgroup5	TotEx	10
0.25	GSIgroup6	TotEx	-14
0.25	GSIgroup7	TotEx	21
0.25	GSIgroup8	TotEx	-11
0.25	GSIgroup9	TotEx	-58
0.25	pbtGroup1	TotEx	NA
0.25	pbtGroup10	TotEx	NA
0.25	pbtGroup11	TotEx	NA
0.25	pbtGroup12	TotEx	NA
0.25	pbtGroup13	TotEx	NA
0.25	pbtGroup14	TotEx	NA
0.25	pbtGroup15	TotEx	NA
0.25	pbtGroup16	TotEx	NA
0.25	pbtGroup17	TotEx	NA
